name,nationalities,date_of_listing,source
Sergey Vladimirovich KARCHEVSKY,Belarus,2024-04-12,cannada
Svetlana Aleksandrovna BONDARENKO,Belarus,2024-04-12,cannada
Roman Ivanovich BIZYUK,Belarus,2024-04-12,cannada
Andrei Romanovich TARASEVICH,Belarus,2024-04-12,cannada
Anna Mikhailovna OSIPENKO,Belarus,2024-04-12,cannada
Sergey Vasilyevich MASLIUKOV,Belarus,2024-04-12,cannada
Yevgeny Valerievich BUBICH,Belarus,2024-04-12,cannada
Yury Ivanovich VASILEVICH,Belarus,2024-04-12,cannada
Aliaksandr Uladzimirovich KARNIENKA,Belarus,2024-04-12,cannada
Andrei Siarheevich PALCHIK,Belarus,2024-04-12,cannada
Aliaksandr Uladzimirovich KAROL,Belarus,2024-04-12,cannada
Mikhail Mikhailavich MURASHKIN,Belarus,2024-04-12,cannada
Mikalai Vasilievich MAKSIMOVICH,Belarus,2024-04-12,cannada
Valyantsina Mikalaeuna ZIANKEVICH,Belarus,2024-04-12,cannada
Zinaida Vasilieuna BALABALAVA,Belarus,2024-04-12,cannada
Halina KNIZHONAK,Belarus,2024-04-12,cannada
Hanna Borisovna LEUSIK,Belarus,2024-04-12,cannada
Henadz Ivanavich KUDLASEVICH,Belarus,2024-04-12,cannada
Ina Leanidauna PAULOUSKAYA,Belarus,2024-04-12,cannada
Dmitry Vitalievich BUBENCHIK,Belarus,2024-04-12,cannada
Nikolai Aleksandrovich LUKASHENKO,Belarus,2024-08-08,cannada
Yuliya Aleksandrovna BLIZNIUK,Belarus,2024-08-08,cannada
Vitali Viktorovich SINILO,Belarus,2024-08-08,cannada
Iryna Vasilyeuna PRADUN,Belarus,2024-08-08,cannada
Valiantsina Piatrouna NOVIKAVA,Belarus,2024-08-08,cannada
Vadzim Ivanavich MAZOL,Belarus,2024-08-08,cannada
Aliaksandr Viktaravich ABASHYN,Belarus,2024-08-08,cannada
Galina Rodionovna LUKASHENKO,Belarus,2025-01-24,cannada
Olga Sergeyevna MARSHALOVICH,Belarus,2025-01-24,cannada
Artem Dmitrievich BALABA,Belarus,2025-01-24,cannada
Maxim Dmitrievich BALABA,Belarus,2025-01-24,cannada
Irina Viktorovna KARPENKOVA,Belarus,2025-01-24,cannada
Igor Nikolayevich KARPENKOV,Belarus,2025-01-24,cannada
Andrey Valeryevich ANANENKO,Belarus,2025-01-28,cannada
Inna Vladimirovna OLEKSINA,Belarus,2022-03-08,cannada
Vitaly Alekseyevich OLEKSIN,Belarus,2022-03-08,cannada
Denis Aleksandrovich MIKUSHEV,Belarus,2022-03-08,cannada
Vyacheslav Ivanovich TULEYKO,Belarus,2022-03-08,cannada
Igor Sergeyevich KABUSHEV,Belarus,2022-03-08,cannada
Igor Vasilyevich KARPENKO,Belarus,2022-03-08,cannada
Grigory Yuryevich AZARYONOK,Belarus,2022-03-08,cannada
Lyudmila GLADKAYA,Belarus,2022-03-08,cannada
Igor Petrovich TUR,Belarus,2022-03-08,cannada
Ekaterina Vorobei SMUSHKOVICH,Belarus,2022-03-08,cannada
Ivan Ivanovich GOLOVATY,Belarus,2022-03-08,cannada
Anatoly Mechislavovich MARKEVICH,Belarus,2022-03-08,cannada
Valery Nikolaevich IVANOV,Belarus,2022-03-08,cannada
Aleksandr Grigoryevich VOLFOVICH,Belarus,2022-03-08,cannada
Dmitry Aleksandrovich PANTUS,Belarus,2022-03-08,cannada
Viachaslau Yevgenyevich RASSALAI,Belarus,2022-03-08,cannada
Аlexey Ivanovich RIMASHEVSKIY,Belarus,2022-03-08,cannada
Aliaksandr Petrovich VETENEVICH,Belarus,2022-03-08,cannada
Aliaksandr Yauhenavich SHATROU,Belarus,2022-03-08,cannada
Oleg Leonidovich VOINOV,Belarus,2022-03-16,cannada
Dmitry Anatolievich MIHOLAP,Belarus,2022-03-16,cannada
Anatoliy Anatolievich BULAVKO,Belarus,2022-03-16,cannada
Victor Vladimirovich SOYKO,Belarus,2022-03-16,cannada
Vadim Anatolyevich Lukashevich,Belarus,2022-03-16,cannada
Dmitry Alexandrovich ZABROTSKY,Belarus,2022-03-16,cannada
Oleg Nikolayevich KOPYL,Belarus,2022-03-16,cannada
Leonid Viktorovich KASINSKY,Belarus,2022-03-16,cannada
Igor Vladimirovich MOZHILOVSKY,Belarus,2022-03-16,cannada
Sergei Anatolievich SAUTA,Belarus,2022-03-16,cannada
Dmitri Ivanovich SUROVICH,Belarus,2022-03-16,cannada
Ivan Josephovich BOGUSLAVSKY,Belarus,2022-03-16,cannada
Yuri Mikhailovich PEYGANOVICH,Belarus,2022-03-16,cannada
Alexander Ivanovich BAS,Belarus,2022-03-16,cannada
Dmitry Leontievich BEKREN,Belarus,2022-03-16,cannada
