name,nationalities,date_of_listing,source
Alena Vasilevna Litvina,Belarus,2023-08-04,Cannada
Aleh Heorhievich Karazei,Belarus,2023-08-04,Cannada
Ruslan Khikmetavich MASHADZIYEU,Belarus,2024-04-12,Cannada
Sergey Vladimirovich KARCHEVSKY,Belarus,2024-04-12,Cannada
Svetlana Aleksandrovna BONDARENKO,Belarus,2024-04-12,Cannada
Roman Ivanovich BIZYUK,Belarus,2024-04-12,Cannada
Andrei Romanovich TARASEVICH,Belarus,2024-04-12,Cannada
Anna Mikhailovna OSIPENKO,Belarus,2024-04-12,Cannada
Sergey Vasilyevich MASLIUKOV,Belarus,2024-04-12,Cannada
Yevgeny Valerievich BUBICH,Belarus,2024-04-12,Cannada
Yury Ivanovich VASILEVICH,Belarus,2024-04-12,Cannada
Aliaksandr Uladzimirovich KARNIENKA,Belarus,2024-04-12,Cannada
Andrei Siarheevich PALCHIK,Belarus,2024-04-12,Cannada
Aliaksandr Uladzimirovich KAROL,Belarus,2024-04-12,Cannada
Mikhail Mikhailavich MURASHKIN,Belarus,2024-04-12,Cannada
Mikalai Vasilievich MAKSIMOVICH,Belarus,2024-04-12,Cannada
Valyantsina Mikalaeuna ZIANKEVICH,Belarus,2024-04-12,Cannada
Zinaida Vasilieuna BALABALAVA,Belarus,2024-04-12,Cannada
Halina KNIZHONAK,Belarus,2024-04-12,Cannada
Hanna Borisovna LEUSIK,Belarus,2024-04-12,Cannada
Henadz Ivanavich KUDLASEVICH,Belarus,2024-04-12,Cannada
Ina Leanidauna PAULOUSKAYA,Belarus,2024-04-12,Cannada
Dmitry Vitalievich BUBENCHIK,Belarus,2024-04-12,Cannada
Nikolai Aleksandrovich LUKASHENKO,Belarus,2024-08-08,Cannada
Yuliya Aleksandrovna BLIZNIUK,Belarus,2024-08-08,Cannada
Vitali Viktorovich SINILO,Belarus,2024-08-08,Cannada
Iryna Vasilyeuna PRADUN,Belarus,2024-08-08,Cannada
Valiantsina Piatrouna NOVIKAVA,Belarus,2024-08-08,Cannada
Vadzim Ivanavich MAZOL,Belarus,2024-08-08,Cannada
Aliaksandr Viktaravich ABASHYN,Belarus,2024-08-08,Cannada
Galina Rodionovna LUKASHENKO,Belarus,2025-01-24,Cannada
Olga Sergeyevna MARSHALOVICH,Belarus,2025-01-24,Cannada
Artem Dmitrievich BALABA,Belarus,2025-01-24,Cannada
Maxim Dmitrievich BALABA,Belarus,2025-01-24,Cannada
Irina Viktorovna KARPENKOVA,Belarus,2025-01-24,Cannada
Igor Nikolayevich KARPENKOV,Belarus,2025-01-24,Cannada
Andrey Valeryevich ANANENKO,Belarus,2025-01-28,Cannada
Inna Vladimirovna OLEKSINA,Belarus,2022-03-08,Cannada
Vitaly Alekseyevich OLEKSIN,Belarus,2022-03-08,Cannada
Denis Aleksandrovich MIKUSHEV,Belarus,2022-03-08,Cannada
Vyacheslav Ivanovich TULEYKO,Belarus,2022-03-08,Cannada
Igor Sergeyevich KABUSHEV,Belarus,2022-03-08,Cannada
Igor Vasilyevich KARPENKO,Belarus,2022-03-08,Cannada
Grigory Yuryevich AZARYONOK,Belarus,2022-03-08,Cannada
Lyudmila GLADKAYA,Belarus,2022-03-08,Cannada
Igor Petrovich TUR,Belarus,2022-03-08,Cannada
Ekaterina Vorobei SMUSHKOVICH,Belarus,2022-03-08,Cannada
Ivan Ivanovich GOLOVATY,Belarus,2022-03-08,Cannada
Anatoly Mechislavovich MARKEVICH,Belarus,2022-03-08,Cannada
Valery Nikolaevich IVANOV,Belarus,2022-03-08,Cannada
Aleksandr Grigoryevich VOLFOVICH,Belarus,2022-03-08,Cannada
Dmitry Aleksandrovich PANTUS,Belarus,2022-03-08,Cannada
Viachaslau Yevgenyevich RASSALAI,Belarus,2022-03-08,Cannada
Аlexey Ivanovich RIMASHEVSKIY,Belarus,2022-03-08,Cannada
Aliaksandr Petrovich VETENEVICH,Belarus,2022-03-08,Cannada
Aliaksandr Yauhenavich SHATROU,Belarus,2022-03-08,Cannada
Oleg Leonidovich VOINOV,Belarus,2022-03-16,Cannada
Dmitry Anatolievich MIHOLAP,Belarus,2022-03-16,Cannada
Anatoliy Anatolievich BULAVKO,Belarus,2022-03-16,Cannada
Victor Vladimirovich SOYKO,Belarus,2022-03-16,Cannada
Vadim Anatolyevich Lukashevich,Belarus,2022-03-16,Cannada
Dmitry Alexandrovich ZABROTSKY,Belarus,2022-03-16,Cannada
Oleg Nikolayevich KOPYL,Belarus,2022-03-16,Cannada
Leonid Viktorovich KASINSKY,Belarus,2022-03-16,Cannada
Igor Vladimirovich MOZHILOVSKY,Belarus,2022-03-16,Cannada
Sergei Anatolievich SAUTA,Belarus,2022-03-16,Cannada
Dmitri Ivanovich SUROVICH,Belarus,2022-03-16,Cannada
Ivan Josephovich BOGUSLAVSKY,Belarus,2022-03-16,Cannada
Yuri Mikhailovich PEYGANOVICH,Belarus,2022-03-16,Cannada
Alexander Ivanovich BAS,Belarus,2022-03-16,Cannada
Dmitry Leontievich BEKREN,Belarus,2022-03-16,Cannada
Vadim Evgenievich SHADURA,Belarus,2022-03-16,Cannada
Vitaly Fridrikovich KILCHEVSKY,Belarus,2022-03-16,Cannada
Valery Ivanovich YANUSHKEVICH,Belarus,2022-03-16,Cannada
